Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC COLEGIO CRISTAO CRUZEIRO;12000094;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONIO COSTEIRA, 1505 PROX. AO MERC. COHAB. COHAB. 69980-000 Cruzeiro do Sul - AC.";(68) 999934670;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6273672;-72.6827112
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PRESIDENTE TANCREDO DE ALMEIDA NEVES;12000108;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ESPIRITO SANTO, 81 ELETROACRE. 69980-000 Cruzeiro do Sul - AC.";(68) 33222395;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6230689;-72.6763978
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC 17 DE NOVEMBRO;12000124;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 307 ESTRADA DO PENTECOSTES BELO JARDIM, SEM NUMERO INSTITUICAO ESCOLAR. ASSIS BRASIL-ESTRADA DO PENTECOSTE. 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA 21 DE ABRIL;12000132;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA RIO JURUA, S/N MIRITIZAL. 69980-000 Cruzeiro do Sul - AC.";(68) 999722791;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-7.640504808;-72.64688015
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC 06 DE AGOSTO;12000140;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 307 RAMAL DOS CAROBAS, 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC 7 DE SETEMBRO;12000159;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"ESTRADA DO AEROPORTO KM 10, SN ESCOLA. SAO CRISTOVAO. 69980-000 Cruzeiro do Sul - AC.";(68) 996009409;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.5933632;-72.7500079
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ABSOLON MOREIRA;12000167;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AV COPACABANA, 2500 PREDIO ESTADUAL. FLORESTA. 69980-000 Cruzeiro do Sul - AC.";(68) 33229281;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6122461;-72.6814174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC AIRTON SENA DA SILVA;12000183;AC;Cruzeiro do Sul;Rural;Área de assentamento;Pública;"BR 364 - RAMAL DO DARCI, RAMAL. ZONA RURAL. 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PADRE ALFREDO NUSS;12000191;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"ESTRADA DO AEROPORTO, CONJUNTO THAUMATURGO DE AZEVEDO, 530 AO LADO DA IGREJA. COHAB. 69980-000 Cruzeiro do Sul - AC.";(68) 996115301;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ANTONIO FERREIRA GOMES;12000248;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"AVENIDA RAIMUNDA NONATA DIAS DA SILVA, 0336 SANTA ROSA. 69980-000 Cruzeiro do Sul - AC.";(68) 996090190;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ANTONIO JUVENCIO BARROSO;12000256;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"RIO LIBERDADE COMUNIDADE GUARANI, ESCOLA. COMUNIDADE GUARANI. 69980-000 Cruzeiro do Sul - AC.";(68) 999536676;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ARI RODRIGUES;12000264;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 307 COMUNIDADE SANTA BARBARA, S/Nº ESCOLA. SANTA BARBARA. 69980-000 Cruzeiro do Sul - AC.";(68) 999536676;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ARTUR LEBRE I;12000272;AC;Cruzeiro do Sul;Rural;Área de assentamento;Pública;"BR 364 ALTO CAMPINAS- COMUNIDADE BOA HORA, 69980-000 Cruzeiro do Sul - AC.";(68) 999228283;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC AUGUSTO SEVERO;12000280;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"VILA SANTA LUZIA-PENTECOSTES, ESCOLA. 69980-000 Cruzeiro do Sul - AC.";(68) 996129877;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC BARROSO FILHO;12000299;AC;Cruzeiro do Sul;Rural;Área de assentamento;Pública;"BR 364 RAMAL 12, ZONA RURAL. 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-7.9877872;-72.4075651
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CEL CONTREIRAS;12000345;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"LINHA DO TIRO AO ALVO, 1300 CRUZEIRAO. 69980-000 Cruzeiro do Sul - AC.";(68) 999859034;Estadual;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CORA CORALINA;12000370;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 364 PROJETO SANTA LUZIA KM 86, S/N PROJETO SANTA LUZIA. KM 86. 69980-000 Cruzeiro do Sul - AC.";(68) 999903829;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CORAZITA NEGREIROS;12000396;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DO PARA, 865 ESCOLA. TELEGRAFO. 69980-000 Cruzeiro do Sul - AC.";(68) 999689989;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6261599;-72.660325
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC DOM PEDRO II;12000400;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"RIO LIBERDADE COMUNIDADE ESPERANCA, S/N 69980-000 Cruzeiro do Sul - AC.";(68) 999536676;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC FLODOARDO CABRAL;12000418;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AV 28 DE SETEMBRO, 834 PROXIMO AO SAMU. BAIRRO ESCOLA TECNICA. 69980-000 Cruzeiro do Sul - AC.";(68) 999822523;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-7.6279328;-72.6721109
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC COMANDANTE BRAZ DE AGUIAR;12000442;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RUI BARBOSA, 337 CENTRO. 69980-000 Cruzeiro do Sul - AC.";(68) 999746573;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.634213;-72.6663117
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CRAVEIRO COSTA;12000450;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GOIAS, 1141 ESCOLA. REMANSO. 69980-000 Cruzeiro do Sul - AC.";;Estadual;Não Informado;Não;Não;Entre 201 e 500 matrículas de escolarização;"Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-7.6222261;-72.6600911
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC DION THAUMATURGO;12000469;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"RAMAL DA BURITIRANA, S/N ESCOLA. BURITIRANA. 69980-000 Cruzeiro do Sul - AC.";(68) 999536676;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC DOM PEDRO I;12000507;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"RIO LIBERDADE COMUNIDADE ITAJUBA, S/N ESCOLA. COMUNIDADE ITAJUBA. 69980-000 Cruzeiro do Sul - AC.";(68) 999536676;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC DR VALERIO CALDAS DE MAGALHAES;12000531;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BOULEVARD THAUMATURGO, 267 CENTRO. 69980-000 Cruzeiro do Sul - AC.";(68) 999821030;Estadual;Não Informado;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;Educação de Jovens Adultos;Atendimento Educacional Especializado;-7.6355607;-72.6696195
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EMIDIO BRAGA DE VASCONCELOS;12000558;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"LINHA DA ALEMANHA, 4324 BOCA DA ALEMANHA. 69980-000 Cruzeiro do Sul - AC.";(68) 999393923;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PROF FLODOARDO CABRAL;12000566;AC;Cruzeiro do Sul;Rural;Área de assentamento;Pública;"BR 364 RAMAL DO TICO, ZONA RURAL. 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC FRANCISCA BARROS DE OLIVEIRA;12000574;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 23 DE OUTUBRO, 0571 ESCOLA. SAO JOSE. 69980-000 Cruzeiro do Sul - AC.";(68) 33226685;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC FRANCISCA HORMINDA DE OLIVEIRA;12000582;AC;Cruzeiro do Sul;Rural;Área de assentamento;Pública;"BR 364 RAMAL 02, 69980-000 Cruzeiro do Sul - AC.";(68) 996024625;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC FRANCISCA RITA DE CASSIA LIMA PINTO;12000590;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RIO DE JANEIRO, 100 ESCOLA. CRUZEIRAO. 69980-000 Cruzeiro do Sul - AC.";(68) 33225438;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC FRANCISCO MONTENEGRO BRAGA;12000612;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"RIO LIBERDADE COMUNIDADE SAO PEDRO, S/S SAO PEDRO. 69980-000 Cruzeiro do Sul - AC.";(68) 999882176;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC GLORIA SORIANO ROSAS;12000655;AC;Mâncio Lima;Rural;A escola não está em área de localização diferenciada;Pública;"BELO MONTE, BR -307. COMUNIDADE BELO MONTE. 69990-000 Mâncio Lima - AC.";(68) 33431647;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC GOVERNADOR HUGO CARNEIRO;12000663;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SERGIPE, 0051 PREDIO ESCOLAR. 25 DE AGOSTO. 69980-000 Cruzeiro do Sul - AC.";(68) 999796469;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-7.626473;-72.674772
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC HELENA NOBRE;12000671;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE VISTA ALEGRE, S/N RIO JURUA MIRIM. RURAL. 69980-000 Cruzeiro do Sul - AC.";(68) 999532142;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-7.6351116;-72.6668641
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC HUMBERTO DE CAMPOS;12000701;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 364, RAMAL 03, SN ESCOLA. PROJETO SANTA LUZIA. 69980-000 Cruzeiro do Sul - AC.";(68) 999978855;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOAO KUBITSCHEK;12000736;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AV 25 DE AGOSTO, 1712 PREDIO PROPRIO. ELETROACRE. 69980-000 Cruzeiro do Sul - AC.";(68) 999991762;Estadual;Não Informado;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-7.6162106;-72.6729783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOAQUIM JOSE DA SILVA XAVIER;12000752;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 364 RAMAL 05, 69980-000 Cruzeiro do Sul - AC.";(68) 999228283;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA JOAQUIM NOGUEIRA;12000779;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 364 - RIO LIBERDADE - COMUNIDADE PERIQUITO, S/N 69980-000 Cruzeiro do Sul - AC.";(68) 999660517;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOSE DE ALENCAR;12000787;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 364 RAMAL 02 SANTA LUZIA, S/N ESCOLA. SANTA LUZIA. 69980-000 Cruzeiro do Sul - AC.";(68) 999882176;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOSE DE ANCHIETA;12000795;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE PERIQUITO, S/N RIO JURUA MIRIM. RURAL. 69980-000 Cruzeiro do Sul - AC.";(68) 999532143;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOSE DO PATROCINIO;12000809;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE TATAJUBA, RIO JURUA. 69980-000 Cruzeiro do Sul - AC.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JULIO RODRIGUES MARTINS;12000825;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"ESTIRAO DOS NAUAS PRAIA GRANDE, PREDIO ESCOLAR. MIRITIZAL. 69980-000 Cruzeiro do Sul - AC.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC INDIGENA KATUKINA I;12000841;AC;Cruzeiro do Sul;Rural;Terra indígena;Pública;"BR 364 TERRA INDIGENA CAMPINAS KATUKINA, ALDEIA. WANINAWA. 69980-000 Cruzeiro do Sul - AC.";(68) 999858620;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC LUIZ ANTONIO MEIRIM PEDREIRA;12000876;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AV 15 DE NOVEMBRO, S/N CRUZEIRINHO NOVO. 69980-000 Cruzeiro do Sul - AC.";(68) 99915389;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6392187;-72.6800654
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC LUIZ FERREIRA;12000892;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE TRES BOCAS, S/N RIO VALPARAISO. 69980-000 Cruzeiro do Sul - AC.";(68) 992341461;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JUAREZ IBERNON;12000906;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"VILA SANTA LUZIA BR 364, S/N ZONA. ZONA RURAL. 69980-000 Cruzeiro do Sul - AC.";(68) 999496526;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CIVICO-MILITAR MADRE ADELGUNDES BECKER;12000914;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SANTO ANTONIO, 118 MIRITIZAL. 69980-000 Cruzeiro do Sul - AC.";(68) 999389457;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-7.6419513;-72.6602427
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MANOEL BRAZ DE MELO;12000930;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"VILA ASSIS BRASIL, 2600 DERACRE. 69980-000 Cruzeiro do Sul - AC.";(68) 999305034;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-7.6344495;-72.665456
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARCILIO NUNES RIBEIRO II;12000973;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"AVENIDA ANTENOR GUALBERTO, 059 ESCOLA. VILA SANTA ROSA. 69980-000 Cruzeiro do Sul - AC.";(68) 999791247;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-7.6633925;-72.8125202
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARIA DA CONCEICAO CASTRO LIMA;12001007;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DA PARAIBA, 2080 PREDIO. REMANSO. 69980-000 Cruzeiro do Sul - AC.";(68) 999614004;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-7.6206227;-72.6607665
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARIA DE NAZARE SANTIAGO;12001015;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"AVENIDA 29 DE JUNHO, 041 CASA. VILA SAO PEDRO. 69980-000 Cruzeiro do Sul - AC.";(68) 999681595;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-7.7229152;-72.7434563
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MAURICIO MAPPES BARROSO;12001031;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 364- SERINGAL LIBERDADE - COMUNIDADE EXTREMA, S/N ESCOLA. COMUNIDADE EXTREMA. 69980-000 Cruzeiro do Sul - AC.";(68) 999581629;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MOACIR RODRIGUES;12001058;AC;Cruzeiro do Sul;Rural;Área de assentamento;Pública;"BR 364 VARIANTE, 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUSTAFA ALMEIDA TOBU;12001066;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AV LAURO MULLER, 1424 JOAO ALVES. 69980-000 Cruzeiro do Sul - AC.";(68) 33222822;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6267431;-72.6804303
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC NORBERTO ASSUNCAO CAVALCANTE;12001104;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR-364 PROJETO SANTA LUZIA RAMAL 03, ESCOLA. 69980-000 Cruzeiro do Sul - AC.";(68) 999876962;Estadual;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC NOSSA SENHORA DE NAZARE;12001112;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 307 BADEJO DO MEIO, 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC OLAVO BILAC;12001139;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"PROJETO SANTA LUZIA BR 364, S/N ESCOLA. SEDE DO INCRA. 69980-000 Cruzeiro do Sul - AC.";(68) 999891646;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;;
