Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PANTANAL;12020940;AC;Feijó;Rural;A escola não está em área de localização diferenciada;Pública;"BR 363 KM 29 - CENTRAL - FAZENDA PANTANAL - RAMAL DO GOIANO, S/N FEIJO/TARAUACA. ZONA RURAL. 69960-000 Feijó - AC.";(68) 34634002;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PINGO DE OURO;12020966;AC;Feijó;Rural;A escola não está em área de localização diferenciada;Pública;"ALTO RIO ENVIRA - SERINGAL VILA ALVES, S/N ZONA RURAL. 69960-000 Feijó - AC.";(68) 34634002;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC SANTO ANTONIO V;12020974;AC;Feijó;Rural;A escola não está em área de localização diferenciada;Pública;"RIO JURUPARI - SERINGAL SANTO ANTONIO, S/N ZONA RURAL. 69960-000 Feijó - AC.";(68) 36434002;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC BEIJA FLOR;12020990;AC;Feijó;Rural;A escola não está em área de localização diferenciada;Pública;"ALTO RIO ENVIRA - SERINGAL NOVO PORTO, S/N ZONA RURAL. 69960-000 Feijó - AC.";(68) 34634002;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ALTO BONITO II;12021008;AC;Feijó;Rural;A escola não está em área de localização diferenciada;Pública;"P.A. BERLIM/RECREIO - RAMAL DOS PINTOS, S/N ZONA RURAL. 69960-000 Feijó - AC.";(68) 34634002;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PEDRO DEMETRIO;12021032;AC;Marechal Thaumaturgo;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE BELA VISTA/RIO SAO JOAO, S/N CASA. RIO SAO JOAO. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARIA PEREIRA DO CARMO;12021083;AC;Marechal Thaumaturgo;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE BRACO ESQUERDO, S/N CASA. RIO BAGE. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC RAIMUNDO GASPAR UCHOA;12021091;AC;Marechal Thaumaturgo;Rural;A escola não está em área de localização diferenciada;Pública;"IGARAPE APARICAO, S/N CASA. RIO APARICAO. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC POLETA FERREIRA DA COSTA;12021130;AC;Marechal Thaumaturgo;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE PRAINHA, S/N CASA. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC SAO PEDRO;12021156;AC;Mâncio Lima;Rural;A escola não está em área de localização diferenciada;Pública;"RIO MOA, COMUNIDADE SAO PEDRO. 69990-000 Mâncio Lima - AC.";(68) 33431647;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC LEDA BATISTA DA SILVA;12021164;AC;Assis Brasil;Rural;Área de assentamento;Pública;"SGAL. PARAGUACU COL. CASTELO, 69935-000 Assis Brasil - AC.";(68) 999836076;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;-10.940784;-69.5666425
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC RAIMUNDO ALVES DA COSTA I;12021202;AC;Rodrigues Alves;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE TRES BOCAS, 69985-000 Rodrigues Alves - AC.";(68) 992370122;Municipal;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOAO RIBEIRO DE MATOS;12021229;AC;Rodrigues Alves;Rural;A escola não está em área de localização diferenciada;Pública;"JOAO RIBEIRO DE MATOS, S/N PREDIO. ZONA RURAL. 69985-000 Rodrigues Alves - AC.";(68) 984271115;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC BOM JARDIM;12021237;AC;Rio Branco;Rural;A escola não está em área de localização diferenciada;Pública;"AC 90 KM 18 RAMAL BARRO ALTO, RODOVIA TRANSACREANA. FLORESTA SUL. 69912-290 Rio Branco - AC.";(68) 999210298;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CLAUDIO AUGUSTO FERREIRA DE SALES;12021245;AC;Rio Branco;Rural;A escola não está em área de localização diferenciada;Pública;"RODOVIA TRANSACREANA, KM 44 ESTRADA TRANSACREANA. 69912-290 Rio Branco - AC.";(68) 992240504;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOSE JOAQUIM MEIRELES;12021270;AC;Epitaciolândia;Rural;A escola não está em área de localização diferenciada;Pública;"BR 317, KM 05 MAIS 31 KM DE RAMAL, 69934-000 Epitaciolândia - AC.";(68) 35465375;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CEL JOAO BRANDAO;12021318;AC;Brasiléia;Rural;Área de assentamento;Pública;"BR 317 KM 84 MAIS 35 DE RAMAL, 69932-000 Brasiléia - AC.";(68) 35464643;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC FRANCISCO FERREIRA DE MORAIS;12021342;AC;Capixaba;Rural;A escola não está em área de localização diferenciada;Pública;"SERINGAL VILA NOVA, COLOCACAO CASTANHEIRA, ZONA RURAL. 69931-000 Capixaba - AC.";(68) 984136967;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOSE DA ROCHA NEVES;12021385;AC;Sena Madureira;Rural;Área de assentamento;Pública;"COLONIA LUA NOVA, RIO MACAUA. 69940-000 Sena Madureira - AC.";(68) 999590472;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC LUPICINIO ALEXANDRE NUNES;12021458;AC;Senador Guiomard;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO PAULO, S/N CENTRO. 69925-000 Senador Guiomard - AC.";(68) 32322205;Municipal;Não Informado;Não;Não;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atividade Complementar;-10.15770417;-67.73677825
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARMUD FERREIRA CAMELI;12021520;AC;Porto Walter;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE TRUNFO E PAU, S/N RIO GRAJAU. RURAL. 69982-000 Porto Walter - AC.";(68) 984262535;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC OSCAR RIBEIRO BARBOSA;12021539;AC;Porto Walter;Rural;Área de assentamento;Pública;"COMUNIDADE BOA VISTA, SN RIO CRUZEIRO DO VALE. BOA VISTA. 69982-000 Porto Walter - AC.";(68) 984262535;Municipal;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ENGRACIAS MESSIAS SALES;12021555;AC;Porto Walter;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE ESTIRAO DO BUENOS AIRES, S/N RIO JURUA. ZONA RURAL. 69982-000 Porto Walter - AC.";(68) 984285880;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;;
